module,flow,alert_id,severity,what_breaks,signal,signal_type,cloudwatch_filter_pattern,metric_name,threshold,window,min_volume_guard,action,owner,runbook,notes,status
zoho,SO creation - Zoho API rejecting,so-zoho-api-fail-crit,critical,"Zoho is down or rejecting; no order placed in this window can be picked (picking is gated on zohoOrderCreationStatus=SALES_ORDER_CREATED)",CREATE_CONTACT_AND_ZOHO_SALES_ORDER_ERROR,log-tracecode,"{ $.msg = ""CREATE_CONTACT_AND_ZOHO_SALES_ORDER_ERROR"" }",SoZohoApiError,>= 20,15 min,n/a,Page,TBD,"Check Zoho reachability + token (look for ZOHO_TOKEN_401_REFRESH / GET_ZOHO_ACCESS_TOKEN_ERROR). Orders self-recover via the 30-min sweeper once Zoho is back - do not manually create SOs first.","Known benign floor: the consumer retries once with test tax exemption on Zoho 110802, so a first-attempt error followed by success is normal. Correlate with ZOHO_SALES_ORDER_TAX_DIAGNOSTICS before escalating. Baseline before fixing the number.",proposed
zoho,SO creation - Zoho API rejecting,so-zoho-api-fail-warn,warning,"Elevated Zoho rejection rate; a subset of orders is not getting a Sales Order",CREATE_CONTACT_AND_ZOHO_SALES_ORDER_ERROR,log-tracecode,"{ $.msg = ""CREATE_CONTACT_AND_ZOHO_SALES_ORDER_ERROR"" }",SoZohoApiError,>= 5,30 min,n/a,Slack,TBD,"Sample 3 orderIds from the log, check the Zoho error body in meta.error_message. Usually item mapping or tax config on one SKU.","Same 110802 caveat as the critical row.",proposed
zoho,SO creation - backlog of orders with no SO,so-backlog-crit,critical,"Orders are placed but no Sales Order exists, so they never enter the picking queue. Catches consumer death, queue death, and cron death in one signal.",SALES_ORDER_PENDING_ORDERS.pendingOrdersCount,log-metric-value,"{ $.msg = ""SALES_ORDER_PENDING_ORDERS"" }",SoPendingOrdersCount,> 50 on 2 consecutive datapoints,1 hr (cron emits every 30 min),n/a,Page,TBD,"Check the AmazonMQ consumer is alive and the ORDER_PLACED queue is draining. If the cron itself stopped, no datapoint arrives - alarm must be configured treatMissingData=breaching.","This is the single most valuable alert in this flow - it is the business SLI, not a proxy. Non-zero floor is expected: H1/Rx orders awaiting doctor review legitimately sit pending. Baseline 2 weeks before setting the number. metricValue = $.meta.pendingOrdersCount",proposed
zoho,SO creation - backlog of orders with no SO,so-backlog-warn,warning,"Backlog building; SO creation is slower than order placement",SALES_ORDER_PENDING_ORDERS.pendingOrdersCount,log-metric-value,"{ $.msg = ""SALES_ORDER_PENDING_ORDERS"" }",SoPendingOrdersCount,> 15 on 2 consecutive datapoints,1 hr,n/a,Slack,TBD,"Check whether the backlog is H1/Rx-pending (expected) or plain orders (not expected) via the fulfillment dashboard filter on zohoOrderCreationStatus.","Split this into two metrics later - pending-awaiting-Rx vs pending-should-have-SO - the mixed number will always be noisy.",proposed
zoho,SO creation - inventory gate rejecting,so-insufficient-qty-crit,critical,"Stock check is failing across the board - likely Zoho stock reads returning zero or the reservation ledger is wrong. Orders get soft-blocked instead of picked.",INSUFFICIENT_QTY vs CREATE_ZOHO_SALES_ORDER,log-ratio,"{ $.msg = ""INSUFFICIENT_QTY"" } / { $.msg = ""CREATE_ZOHO_SALES_ORDER"" }",SoInsufficientQtyRatio,> 40% of SO attempts,1 hr,>= 20 SO attempts in window,Page,TBD,"Check a failing drugCode's location_available_for_sale_stock on Zoho directly vs mdm.item_procurement.stock_in_warehouse. A global spike means the Zoho read broke, not that stock ran out.","Must be a ratio, not a count - INSUFFICIENT_QTY is a normal business outcome at low rate. Min-volume guard is mandatory or night traffic will page you.",proposed
zoho,SO creation - inventory gate rejecting,so-insufficient-qty-warn,warning,"Elevated soft-blocking; more orders than usual are waiting on procurement",INSUFFICIENT_QTY vs CREATE_ZOHO_SALES_ORDER,log-ratio,"{ $.msg = ""INSUFFICIENT_QTY"" } / { $.msg = ""CREATE_ZOHO_SALES_ORDER"" }",SoInsufficientQtyRatio,> 20% of SO attempts,2 hr,>= 20 SO attempts in window,Slack,TBD,"Pull the top drugCodes from meta.drugCodeToZohoDetailsMappingObject and hand to procurement.","Expect a real daily rhythm here. Baseline by hour-of-day before trusting one flat threshold.",proposed
zoho,SO creation - failure handler itself failed,so-failure-actions-crit,critical,"postSalesOrderCreationFailureActions threw, so the order was not marked SALES_ORDER_FAILED and no procurement reservation was written. The same stock can now be promised twice.",POST_SALES_ORDER_FAILURE_ACTIONS_ERROR,log-tracecode,"{ $.msg = ""POST_SALES_ORDER_FAILURE_ACTIONS_ERROR"" }",SoFailureActionsError,>= 3,15 min,n/a,Page,TBD,"Pull meta.order.orderId for each. Verify zohoOrderCreationStatus and the matching order_item_procurement rows exist; write them manually if not.","Rare but high blast radius - this is the one that corrupts the reservation ledger rather than just delaying an order.",proposed
zoho,SO creation - failure handler itself failed,so-failure-actions-warn,warning,"One order's SO-failure bookkeeping did not complete",POST_SALES_ORDER_FAILURE_ACTIONS_ERROR,log-tracecode,"{ $.msg = ""POST_SALES_ORDER_FAILURE_ACTIONS_ERROR"" }",SoFailureActionsError,>= 1,1 hr,n/a,Slack,TBD,"Same check as critical, single order.","Deliberately fires on a single occurrence - the cost of one missed reservation is higher than the cost of one Slack ping.",proposed
zoho,SO creation - queue consumer failing,so-consumer-error-crit,critical,"ORDER_PLACED messages are erroring past max retries and being nacked with requeue=false - the message is dropped and the order only recovers on the next 30-min sweep",PROCESS_RABBIT_MQ_SALES_ORDER_QUEUE_MESSAGE_ERROR,log-tracecode,"{ $.msg = ""PROCESS_RABBIT_MQ_SALES_ORDER_QUEUE_MESSAGE_ERROR"" }",SoConsumerError,>= 10,15 min,n/a,Page,TBD,"Read meta.message for the failing eventData. If it is a systemic Zoho error, expect so-zoho-api-fail to be firing too - fix that first, this is downstream.","Recoverable but delayed - dropped messages are re-enqueued by createZohoSalesOrdersViaCronV2 every 30 min. Escalate on the backlog alert, not this one, if orders are actually stuck.",proposed
zoho,SO creation - queue consumer failing,so-consumer-error-warn,warning,"Sales-order queue is erroring on some messages",PROCESS_RABBIT_MQ_SALES_ORDER_QUEUE_MESSAGE_ERROR,log-tracecode,"{ $.msg = ""PROCESS_RABBIT_MQ_SALES_ORDER_QUEUE_MESSAGE_ERROR"" }",SoConsumerError,>= 3,30 min,n/a,Slack,TBD,"Check whether the same orderId is looping - a poison message will retry to max then drop, and reappear via the sweeper every 30 min forever.","Poison-message loop is the failure mode to watch for here: it looks like a low steady rate rather than a spike.",proposed
