module,flow,alert_id,severity,what_breaks,signal,signal_type,cloudwatch_filter_pattern,metric_name,threshold,window,min_volume_guard,action,owner,runbook,notes,status
transfer-order,Reservation leak - stock silently unsellable,to-stuck-reservation-crit,critical,"A transfer order is holding a reservation it never released. required_quantity stays raised, so that stock stops being sellable to customers with no error anywhere. This is the defining failure mode of the module.",TRANSFER_ORDER_STUCK_RESERVATION_DETECTED.count,log-metric-value,"{ $.msg = ""TRANSFER_ORDER_STUCK_RESERVATION_DETECTED"" }",ToStuckReservationCount,>= 5,1 hr,n/a,Page,FNO,"Take transferOrderIds from $.meta.transferOrderIds. Decide per TO whether Zoho actually moved the stock (GET /transferorders/:id on Zoho), then let POST /transfer-orders/cron/reconcile do the release. DO NOT hand-edit required_quantity - the Zoho-pull cron and both ledgers write that row.","metricValue = $.meta.count. Threshold in code is 48h (TRANSFER_ORDER_STUCK_RESERVATION_HOURS), so anything reported here is already two days stale. PREREQUISITE: this only fires if something calls POST /transfer-orders/cron/stuck-reservations - see to-reconcile-cron rows. Drift query is in the wiki gotchas page.",proposed
transfer-order,Reservation leak - stock silently unsellable,to-stuck-reservation-warn,warning,"At least one reservation has been held over 48h",TRANSFER_ORDER_STUCK_RESERVATION_DETECTED.count,log-metric-value,"{ $.msg = ""TRANSFER_ORDER_STUCK_RESERVATION_DETECTED"" }",ToStuckReservationCount,>= 1,1 hr,n/a,Slack,FNO,"Usually one TO parked at PICKING_ISSUE_RAISED (status 8) waiting on a TL, which legitimately holds its reservation. Confirm before escalating.","Expect a real floor from status-8 TOs. If that floor is persistent, split the detector by status rather than raising the threshold - a genuinely lost release and a TO awaiting a TL look identical here.",proposed
transfer-order,Zoho draft failed - TO holds stock and cannot be picked,to-zoho-draft-fail-crit,critical,"createTransferOrder swallows the Zoho failure (.catch(() => false)) and returns 201 with zohoSynced:false. The TO exists, the stock IS reserved, and it is NOT pickable because the picking query requires a Zoho id. It sits holding stock until someone notices.",TRANSFER_ORDER_ZOHO_CREATE_ERROR,log-tracecode,"{ $.msg = ""TRANSFER_ORDER_ZOHO_CREATE_ERROR"" }",ToZohoCreateError,>= 3,15 min,n/a,Page,FNO,"POST /transfer-orders/:id/retry-zoho per affected TO. Read meta.zohoCreateError for the cause. If Zoho itself is down expect the zoho SO alerts to be firing too.","THE API RETURNS 201 ON THIS PATH - no HTTP-level alert will ever catch it, only this TraceCode. Note the same code is also emitted by getZohoTransferOrder and updateZohoTransferOrder in zoho.api.service.ts (:824/:853/:898), so it covers three different calls - check the call site before assuming it is a draft failure.",proposed
transfer-order,Zoho draft failed - TO holds stock and cannot be picked,to-zoho-draft-fail-warn,warning,"A transfer order failed to sync to Zoho and is unpickable",TRANSFER_ORDER_ZOHO_CREATE_ERROR,log-tracecode,"{ $.msg = ""TRANSFER_ORDER_ZOHO_CREATE_ERROR"" }",ToZohoCreateError,>= 1,1 hr,n/a,Slack,FNO,"Same retry-zoho path. Single occurrence is worth a look because the caller was told the TO succeeded.","Fires on one occurrence deliberately: the failure is invisible to the user who created the TO, so nobody else will report it.",proposed
transfer-order,Send-to-transit failing - the point of no return,to-transit-fail-crit,critical,"Dispatch is failing partway through a 7-step sequence that spans two Zoho round trips. A partial completion leaves batches deactivated or reservations released without the status advancing - or the reverse.",TRANSFER_ORDER_SEND_TO_TRANSIT_ERROR / TRANSFER_ORDER_ZOHO_IN_TRANSIT_ERROR,log-tracecode,"{ $.msg = ""TRANSFER_ORDER_SEND_TO_TRANSIT_ERROR"" || $.msg = ""TRANSFER_ORDER_ZOHO_IN_TRANSIT_ERROR"" }",ToTransitError,>= 2,15 min,n/a,Page,FNO,"Check Zoho state for the TO before retrying - a lost response means Zoho already moved it. TRANSFER_ORDER_ALREADY_IN_TRANSIT_ON_ZOHO in the same window means the reconcile path handled it. Do not re-dispatch blind.","Guarded by TRANSFER_ORDER_IN_TRANSIT_LOCK with a 120s TTL because of the two Zoho calls. Recovery is the reconcile cron's resume-in-transit stage, so this alert and to-reconcile-cron are paired - if reconcile is not running, nothing self-heals.",proposed
transfer-order,Send-to-transit failing - the point of no return,to-transit-fail-warn,warning,"A dispatch attempt failed",TRANSFER_ORDER_SEND_TO_TRANSIT_ERROR / TRANSFER_ORDER_ZOHO_IN_TRANSIT_ERROR,log-tracecode,"{ $.msg = ""TRANSFER_ORDER_SEND_TO_TRANSIT_ERROR"" || $.msg = ""TRANSFER_ORDER_ZOHO_IN_TRANSIT_ERROR"" }",ToTransitError,>= 1,1 hr,n/a,Slack,FNO,"Check whether the TO is sitting at PHARMACIST_ACCEPTED (status 15) older than 15 min - that is the reconcile cron's stuck-pre-transit case.","assertReadyForTransit re-checks picked==requested at dispatch, so a legitimate rejection (pharmacist changed batches) also lands here. Read error_message before treating as an incident.",proposed
transfer-order,Reconcile cron not running,to-reconcile-cron-crit,critical,"The module's only self-healing mechanism is dead. Lost-response dispatches never resume, invoices are never discovered, and the stuck-reservation alarm never fires - so every other alert in this sheet degrades silently with it.",TRANSFER_ORDER_RECONCILE_SUMMARY,log-tracecode,"{ $.msg = ""TRANSFER_ORDER_RECONCILE_SUMMARY"" }",ToReconcileRuns,no datapoint,2x the cron interval,n/a,Page,FNO,"Check cron-job.org for POST /transfer-orders/cron/reconcile and POST /transfer-orders/cron/stuck-reservations. Both are RetoolAuth routes on the cron controller.","VERIFY FIRST: neither TO cron endpoint appears in the wiki cron inventory (captured 2026-08-12, TO work continued to 08-18) - they may never have been scheduled. If so, schedule them BEFORE building any other row here, because to-stuck-reservation depends entirely on the stuck-reservations job running. Set treatMissingData=breaching.",proposed
transfer-order,Reconcile cron not running,to-reconcile-error-warn,warning,"The reconcile cron is running but erroring on individual transfer orders",TRANSFER_ORDER_RECONCILE_ERROR,log-tracecode,"{ $.msg = ""TRANSFER_ORDER_RECONCILE_ERROR"" }",ToReconcileError,>= 3,1 hr,n/a,Slack,FNO,"$.meta.stage tells you which half failed - 'resume-in-transit' or 'discover-invoice'. Invoice-discovery errors are lower stakes than resume failures.","Per-TO try/catch means one bad TO does not stop the sweep, but it also means a permanently broken TO errors every single run - watch for the same transferOrderId repeating rather than raw count.",proposed
transfer-order,Nobody can pick transfer orders,to-picker-starved-crit,critical,"Transfer orders are being created but never claimed. Picker eligibility is a Redis-only gate that FAILS CLOSED: an unset or malformed TRANSFER_ORDER_PICKER_USER_IDS key means nobody is eligible and TOs never enter any picker queue, silently.",TRANSFER_ORDER_CREATED > 0 AND TRANSFER_ORDER_PICKER_CLAIMED == 0,log-composite,"composite: ALARM({ $.msg = ""TRANSFER_ORDER_CREATED"" } >= 1) AND ALARM({ $.msg = ""TRANSFER_ORDER_PICKER_CLAIMED"" } == 0)",ToCreated / ToPickerClaimed,"created >= 3 and claimed == 0",4 hr,n/a,Page,FNO,"Check the TRANSFER_ORDER_PICKER_USER_IDS Redis key exists, is valid JSON, and is env-prefixed. Utils.safeJsonParse falls back to [] on malformed input - which means zero eligible pickers, not all pickers.","No TraceCode exists for 'eligibility list empty' - this is inferred from the absence of claims, which is why it needs a composite alarm and a long window. Worth adding a log line when the parsed list is empty; that would replace this whole row with a direct signal.",proposed
transfer-order,Nobody can pick transfer orders,to-picker-starved-warn,warning,"Transfer orders are queuing longer than expected before being claimed",TRANSFER_ORDER_CREATED vs TRANSFER_ORDER_PICKER_CLAIMED,log-composite,"same as critical, looser",ToCreated / ToPickerClaimed,"claimed < 50% of created",8 hr,>= 4 created in window,Slack,FNO,"Normal if warehouse staffing is thin - confirm with the warehouse before treating as a bug.","A TO loses to every SDD/NDD customer order for its first 24h by design, so slow claiming is expected and this row will have a real floor. Baseline before setting the ratio.",proposed
