module,flow,alert_id,severity,what_breaks,signal,signal_type,cloudwatch_filter_pattern,metric_name,threshold,window,min_volume_guard,action,owner,runbook,notes,status
polaris,Next-task serve failing - agents idle,pol-next-task-error-crit,critical,"GET /tasks/next is erroring. Every CS agent who clicks Go Active gets 'Something went wrong fetching the next task' and cannot work. The entire support floor stops.",CRMTraceCodes.SERVE_NEXT_TASK_ERROR vs SERVE_NEXT_TASK_SERVED,log-ratio,"{ $.msg = ""SERVE_NEXT_TASK_ERROR"" } / { $.msg = ""SERVE_NEXT_TASK_SERVED"" }",PolNextTaskErrorRatio,>= 5% of serve attempts,10 min,>= 20 attempts in window,Page,TBD,"Check the last dashboard/core deploy. FE shows a generic retry message, so agents will not report anything useful - this alert is the only early signal.","THE Polaris SLO. The code already emits a clean three-way outcome (SERVE_NEXT_TASK_SERVED / _EMPTY / _ERROR) which is exactly the good/empty/bad split an SLI needs - rare and worth preserving. CRMTraceCodes is a STRING enum on purpose (crm.traceCodes.ts header comment) so $.msg carries the name directly.",proposed
polaris,Next-task serve failing - agents idle,pol-next-task-error-warn,warning,"Some agents are failing to get their next task",CRMTraceCodes.SERVE_NEXT_TASK_ERROR,log-tracecode,"{ $.msg = ""SERVE_NEXT_TASK_ERROR"" }",PolNextTaskError,>= 2% of serve attempts,30 min,>= 20 attempts in window,Slack,TBD,"Check whether it is one agent (internalUserId) or spread - a single agent usually means a stale ACTIVE status row.","The FE swallows a 400 'must be active or in call' into an inactive-state message rather than an error, so that legitimate case should not reach this code. Verify that holds before trusting the floor.",proposed
polaris,Task queue dry while agents are active,pol-queue-empty-crit,critical,"Agents are active and asking for work but the queue keeps returning empty. Either upstream task creation has broken or the assignment query is filtering everything out. Looks identical to 'quiet day' from the agent's seat.",SERVE_NEXT_TASK_EMPTY vs SERVE_NEXT_TASK_SERVED,log-ratio,"{ $.msg = ""SERVE_NEXT_TASK_EMPTY"" } / { $.msg = ""SERVE_NEXT_TASK_SERVED"" }",PolQueueEmptyRatio,>= 90% empty,1 hr,>= 30 serve attempts in window,Page,TBD,"Check task creation volume (CRM event consumers, campaign crons) before assuming the serve query broke. Cross-check marketplace task counts in Metabase for the same window.","This is the 'tasks not getting created' concern the TL raised, expressed as a signal Polaris can actually see. Must be office-hours-scoped - a 90% empty rate at 2am is correct behaviour. Baseline by hour before setting it live.",proposed
polaris,Task queue dry while agents are active,pol-queue-empty-warn,warning,"Queue running much drier than normal for this hour",SERVE_NEXT_TASK_EMPTY vs SERVE_NEXT_TASK_SERVED,log-ratio,"{ $.msg = ""SERVE_NEXT_TASK_EMPTY"" } / { $.msg = ""SERVE_NEXT_TASK_SERVED"" }",PolQueueEmptyRatio,>= 2x trailing 7-day same-hour empty ratio,2 hr,>= 30 serve attempts in window,Slack,TBD,"Compare against campaign schedules - a finished campaign legitimately empties the queue.","Strong daily and weekly seasonality. Same-hour-of-day comparison only.",proposed
polaris,Task completion (disposition) failing,pol-disposition-error-crit,critical,"Agents cannot complete tasks. The task stays IN_PROGRESS, the agent is blocked on it, and they cannot be served another - so each failure takes one agent out of rotation until someone intervenes.",CRMTraceCodes.CREATE_DISPOSITION_ERROR,log-tracecode,"{ $.msg = ""CREATE_DISPOSITION_ERROR"" }",PolDispositionError,>= 5,15 min,n/a,Page,TBD,"Identify stuck tasks still IN_PROGRESS with an assigned agent. Agents will be visibly idle but marked busy.","Worse than it looks: completion drives the whole loop server-side (there is no separate status PATCH), so a disposition failure strands both the task and the agent.",proposed
polaris,Task completion (disposition) failing,pol-disposition-error-warn,warning,"Some task completions are failing",CRMTraceCodes.CREATE_DISPOSITION_ERROR,log-tracecode,"{ $.msg = ""CREATE_DISPOSITION_ERROR"" }",PolDispositionError,>= 2,1 hr,n/a,Slack,TBD,"Check for one disposition sub-type repeating - usually a validation or FK issue on a specific reason code.","Often data-shape rather than infrastructure. Capture the payload before escalating.",proposed
polaris,Follow-up task creation failing,pol-create-task-error-crit,critical,"POST /tasks/new is failing, so 'Will Create a New Task' follow-ups are silently lost. The agent sees their current task complete successfully - the follow-up just never exists.",CRMTraceCodes.CREATE_TASK_ERROR,log-tracecode,"{ $.msg = ""CREATE_TASK_ERROR"" }",PolCreateTaskError,>= 5,15 min,n/a,Page,TBD,"Reconstruct lost follow-ups from disposition rows in the window - the disposition succeeded even where the task creation did not.","Ordering matters: the FE completes the disposition first, then creates the follow-up task. A failure here loses the follow-up with no user-visible error, which is why it needs its own alert rather than folding into disposition.",proposed
polaris,Follow-up task creation failing,pol-create-task-error-warn,warning,"Some follow-up tasks are not being created",CRMTraceCodes.CREATE_TASK_ERROR,log-tracecode,"{ $.msg = ""CREATE_TASK_ERROR"" }",PolCreateTaskError,>= 1,1 hr,n/a,Slack,TBD,"Check the campaign id in the payload - an inactive or deleted campaign is the common cause.","Single occurrence is worth a look because the loss is invisible to the agent.",proposed
polaris,Customer 360 panel degraded,pol-customer360-crit,critical,"The workspace loads but the customer data is missing or partial, so agents are talking to customers blind. useCustomer360 uses Promise.allSettled and renders anyway, so THE PAGE LOOKS FINE while widgets are empty.",Errors on the three 360 calls (user details / orders / wallet),log-tracecode,"VERIFY the exact codes first - candidates GET_USER_DETAIL_BY_USER_ID_ERROR, ERROR_FETCHING_ORDERS, GET_WALLET_BY_USER_ID_ERROR",PolCustomer360Error,>= 10% of workspace loads,15 min,>= 30 loads in window,Page,TBD,"Identify which of the three domains is failing. Agents will not report this as an outage - they will report 'the data looks wrong'.","'Page opened' does NOT mean 'page usable' here. The failed{} map in useCustomer360 records which widget died but is used only for rendering - it is never reported anywhere. BE alerting is the ONLY way to see this, which makes it the strongest argument for the FE beacon below. Endpoint-to-TraceCode mapping still needs confirming.",proposed
polaris,Customer 360 panel degraded,pol-customer360-warn,warning,"One customer-360 widget is failing intermittently",Errors on the three 360 calls,log-tracecode,"same as critical, once verified",PolCustomer360Error,>= 4% of workspace loads,1 hr,>= 30 loads in window,Slack,TBD,"Usually one domain (wallet is the most common) rather than all three.","Per-user data shapes cause a real floor - capture userId in triage.",proposed
