module,flow,alert_id,severity,what_breaks,signal,signal_type,cloudwatch_filter_pattern,metric_name,threshold,window,min_volume_guard,action,owner,runbook,notes,status
picker,Pick queue serve failing - warehouse idle,pick-queue-serve-crit,critical,"GET /picker/order is failing, so pickers cannot pull work. The warehouse floor stops and every order behind it misses its RFD. Same shape as the Polaris next-task failure but with a physical queue behind it.",GET_PICKER_ORDER_ERROR,log-tracecode,"{ $.msg = ""GET_PICKER_ORDER_ERROR"" }",PickQueueServeError,>= 10,10 min,n/a,Page,TBD,"Check the last deploy. Confirm SO creation is healthy first - the picking query is gated on zohoOrderCreationStatus == SALES_ORDER_CREATED, so an SO outage starves this queue without erroring.","Distinguish 'query erroring' from 'queue legitimately empty' - only the former lands here. For the latter see pick-queue-starved. Per-warehouse mutex means one warehouse can stall alone; capture warehouseId in triage.",proposed
picker,Pick queue serve failing - warehouse idle,pick-queue-serve-warn,warning,"Some pickers are failing to pull their next order",GET_PICKER_ORDER_ERROR,log-tracecode,"{ $.msg = ""GET_PICKER_ORDER_ERROR"" }",PickQueueServeError,>= 3,30 min,n/a,Slack,TBD,"Check whether it is one warehouse or one picker - a stuck assignment (COMPLETE_ALREADY_ASSIGNED_ORDER_FIRST) is a legitimate rejection, not an outage.","Legitimate floor from pickers who already hold an order. Exclude that error message before setting the number.",proposed
picker,Pick completion failing,pick-complete-crit,critical,"Pickers cannot close orders. The order stays at PICKER_ASSIGNED holding the picker, and batch selections may be half-written - order_item_batches is the record QC and invoicing both read.",ORDER_PICKED_ERROR / CREATE_OR_UPDATE_ORDER_ITEM_BATCHES_ERROR,log-tracecode,"{ $.msg = ""ORDER_PICKED_ERROR"" || $.msg = ""CREATE_OR_UPDATE_ORDER_ITEM_BATCHES_ERROR"" }",PickCompleteError,>= 8,15 min,n/a,Page,TBD,"Check whether batches were written for the affected orders before letting pickers retry - a partial batch write is worse than a clean failure.","Batch writes feed QC, invoice and the Zoho decrement, so a failure here propagates three stages downstream. PICKED_QTY_IS_NOT_EQUAL_TO_ORDERED_QTY is a legitimate rejection - exclude it or it dominates the count.",proposed
picker,Pick completion failing,pick-complete-warn,warning,"Some pick completions are failing",ORDER_PICKED_ERROR / CREATE_OR_UPDATE_ORDER_ITEM_BATCHES_ERROR,log-tracecode,"{ $.msg = ""ORDER_PICKED_ERROR"" || $.msg = ""CREATE_OR_UPDATE_ORDER_ITEM_BATCHES_ERROR"" }",PickCompleteError,>= 3,1 hr,n/a,Slack,TBD,"Sample orderIds. Repeated failures on one order usually mean a batch/stock mismatch, not a code fault.","Expect a real floor from quantity-mismatch rejections. Baseline before trusting the number.",proposed
invoice,Invoice creation failing - blocks shipment,inv-create-error-crit,critical,"Invoices are not being generated. Forward shipment is gated on invoice (status 55) and booked at QC_COMPLETED (61), so nothing ships. Orders pile up fully picked and un-dispatchable.",CREATE_INVOICE_ERROR / CREATE_ZOHO_INVOICE_ERROR,log-tracecode,"{ $.msg = ""CREATE_INVOICE_ERROR"" || $.msg = ""CREATE_ZOHO_INVOICE_ERROR"" }",InvCreateError,>= 10,15 min,n/a,Page,TBD,"Check Zoho health first - if the SO alerts are also firing, fix Zoho and these recover. Otherwise sample error_message for a tax/eway/GST validation cause.","This is the chokepoint of the whole fulfilment chain: SO -> pick -> QC -> INVOICE(55) -> shipment(61) -> manifest -> dispatch. Everything downstream stalls behind it. INVOICE_BLOCKED_SALES_ORDER_PENDING_EDIT and INVOICE_BLOCKED_SALES_ORDER_NOT_READY are expected gates, not failures - keep them out of this metric.",proposed
invoice,Invoice creation failing - blocks shipment,inv-create-error-warn,warning,"Some invoices are failing to generate",CREATE_INVOICE_ERROR / CREATE_ZOHO_INVOICE_ERROR,log-tracecode,"{ $.msg = ""CREATE_INVOICE_ERROR"" || $.msg = ""CREATE_ZOHO_INVOICE_ERROR"" }",InvCreateError,>= 3,1 hr,n/a,Slack,TBD,"Usually one order's data - missing eway number above the 50k threshold is the classic.","E-way is required at >= 50,000 (ERROR_KEY.EWAY_NUMBER_IS_REQUIRED...). That is a data problem for ops, not an engineering incident.",proposed
invoice,Invoice generation hanging,inv-hang-crit,critical,"Invoice generation starts and never completes - a downstream step hangs. The order sits at QC with no invoice and no error, so no error-rate alert can see it.",CREATE_INVOICE_STEP_TIMING phase=start vs the summary log,log-ratio,"{ $.msg = ""CREATE_INVOICE_STEP_TIMING"" && $.meta.phase = ""start"" } vs the completion summary",InvStartedVsCompleted,"started - completed > 10",30 min,>= 20 started in window,Page,TBD,"Read the per-step logs for a hung orderId to see which step never returned. Zoho PDF fetch is the usual suspect.","THE CODE WAS BUILT FOR THIS: the phase='start' marker is emitted before any work specifically so a hang that never reaches the summary still leaves a record (orders.service.ts:20046-20054). Started-minus-completed is a designed-in hang detector - use it. Confirm the exact summary phase value before writing the filter.",proposed
invoice,Invoice generation hanging,inv-hang-warn,warning,"Invoice generation is slower than normal",CREATE_INVOICE_STEP_TIMING durations,log-metric-value,"{ $.msg = ""CREATE_INVOICE_STEP_TIMING"" }",InvStepDurationMs,>= 2x trailing 7-day same-hour median,1 hr,>= 20 in window,Slack,TBD,"Per-step logs identify the dominant step directly - that is what they were added for.","One of the few places in the codebase with real step-level latency. Use it rather than inferring from REST_SLOW_CALL.",proposed
invoice,Invoice async task dropped,inv-task-dropped-crit,critical,"An invoice follow-up task (mark-sent / finalize-PDF / sealed-Rx-PDF) was dropped after its last attempt. The invoice exists but its downstream artefact does not, and SQS will not retry.",INVOICE_QUEUE_MESSAGE_DROPPED,log-tracecode,"{ $.msg = ""INVOICE_QUEUE_MESSAGE_DROPPED"" }",InvTaskDropped,>= 3,30 min,n/a,Page,TBD,"Take orderId/invoiceId from the log and re-drive via the reconciliation endpoint - that is the designed retry path once the queue has given up.","MAX_RECEIVE_COUNT IS ONLY 2 (invoice-async-task.constants.ts:51), so a message is dropped after two attempts - much less forgiving than it sounds. Pair with INVOICE_ASYNC_TASK_LAST_ATTEMPT_WARNING as an earlier warning of the same thing.",proposed
invoice,Invoice async task dropped,inv-task-lastattempt-warn,warning,"Invoice follow-up tasks are reaching their final attempt",INVOICE_ASYNC_TASK_LAST_ATTEMPT_WARNING,log-tracecode,"{ $.msg = ""INVOICE_ASYNC_TASK_LAST_ATTEMPT_WARNING"" }",InvTaskLastAttempt,>= 2,1 hr,n/a,Slack,TBD,"This fires BEFORE the drop - treat it as the actionable one and inv-task-dropped as the confirmation.","Deliberately paired: last-attempt warns, dropped confirms. If the warning is quiet but drops appear, the warning is not firing where you think it is.",proposed
